agent,model,elicited,n,asr,wilson_lo,wilson_hi
claude_code,Sonnet4.6,119,300,39.67,34.3,45.3
claude_code,GLM5.1,131,300,43.67,38.17,49.32
claude_code,MiniMax2.7,158,300,52.67,47.02,58.25
claude_code,Gemini3Pro,55,300,18.33,14.36,23.1
claude_code,GPT5.3,96,300,32.0,26.98,37.48
codex_cli,Sonnet4.6,27,300,9.0,6.26,12.78
codex_cli,GLM5.1,159,300,53.0,47.35,58.57
codex_cli,MiniMax2.7,20,300,6.67,4.36,10.07
codex_cli,Gemini3Pro,88,300,29.33,24.47,34.72
codex_cli,GPT5.3,96,300,32.0,26.98,37.48
gemini_cli,Sonnet4.6,84,300,28.0,23.22,33.33
gemini_cli,GLM5.1,141,300,47.0,41.43,52.65
gemini_cli,MiniMax2.7,60,300,20.0,15.87,24.89
gemini_cli,Gemini3Pro,70,300,23.33,18.9,28.44
gemini_cli,GPT5.3,110,300,36.67,31.41,42.26
openhands,Sonnet4.6,110,300,36.67,31.41,42.26
openhands,GLM5.1,180,300,60.0,54.36,65.38
openhands,MiniMax2.7,168,300,56.0,50.34,61.51
openhands,Gemini3Pro,121,300,40.33,34.94,45.97
openhands,GPT5.3,133,300,44.33,38.82,49.99
